dstport,protocol,tag
145,hmp,sv_P665
74,udp,sv_P742
140,emcon,sv_P198
102,bbn-rcc-mon,sv_P498
124,udp,sv_P425
97,xnet,sv_P798
46,egp,sv_P407
50,egp,sv_P105
65,mfe-nsp,sv_P812
7,igp,sv_P234
144,ggp,sv_P837
72,prm,sv_P569
91,argus,sv_P781
51,bbn-rcc-mon,sv_P892
139,leaf-2,sv_P12
38,netblt,sv_P382
13,emcon,sv_P720
72,nvp-II,sv_P389
2,trunk-2,sv_P251
48,irtp,sv_P692
21,trunk-1,sv_P300
133,udp,sv_P153
127,udp,sv_P538
0,igmp,sv_P40
104,nvp-II,sv_P530
42,leaf-2,sv_P33
94,ggp,sv_P598
122,trunk-2,sv_P557
110,ipv4,sv_P256
50,tcp,sv_P534
69,nvp-II,sv_P358
134,ipv4,sv_P420
90,tcp,sv_P258
113,ggp,sv_P500
35,igmp,sv_P767
104,nvp-II,sv_P759
37,hmp,sv_P910
50,icmp,sv_P791
16,udp,sv_P139
143,trunk-1,sv_P186
113,st,sv_P734
94,pup,sv_P134
3,xnet,sv_P501
39,tcp,sv_P961
15,xnet,sv_P131
96,icmp,sv_P914
107,udp,sv_P342
68,netblt,sv_P40
60,rdp,sv_P193
17,udp,sv_P855
79,chaos,sv_P408
92,icmp,sv_P346
13,trunk-2,sv_P966
47,chaos,sv_P925
31,udp,sv_P679
60,igmp,sv_P407
17,mfe-nsp,sv_P820
140,nvp-II,sv_P643
128,egp,sv_P951
122,xnet,sv_P278
60,argus,sv_P387
48,udp,sv_P23
141,trunk-1,sv_P535
5,argus,sv_P933
12,udp,sv_P923
85,irtp,sv_P745
130,tcp,sv_P711
37,igp,sv_P144
79,leaf-1,sv_P94
65,udp,sv_P812
67,dcn-meas,sv_P904
63,argus,sv_P413
63,prm,sv_P518
49,trunk-1,sv_P402
62,udp,sv_P993
72,ggp,sv_P542
144,udp,sv_P536
66,chaos,sv_P847
40,tcp,sv_P549
39,trunk-2,sv_P943
78,irtp,sv_P470
74,st,sv_P209
99,chaos,sv_P946
95,egp,sv_P657
88,irtp,sv_P86
62,pup,sv_P586
23,mfe-nsp,sv_P79
43,trunk-1,sv_P94
129,tcp,sv_P988
134,udp,sv_P23
104,emcon,sv_P979
73,argus,sv_P444
109,rdp,sv_P622
95,hmp,sv_P392
144,emcon,sv_P873
87,st,sv_P257
86,iso-tp4,sv_P321
82,igp,sv_P296
38,mux,sv_P879
133,xnet,sv_P137
125,bbn-rcc-mon,sv_P977
146,rdp,sv_P369
36,argus,sv_P367
137,icmp,sv_P610
116,nvp-II,sv_P438
115,xns-idp,sv_P775
131,leaf-2,sv_P697
82,leaf-1,sv_P818
85,trunk-2,sv_P202
51,xns-idp,sv_P982
36,mfe-nsp,sv_P842
29,chaos,sv_P281
98,netblt,sv_P940
137,tcp,sv_P16
33,ggp,sv_P375
6,dcn-meas,sv_P916
104,igmp,sv_P145
0,tcp,sv_P344
112,xns-idp,sv_P132
35,mfe-nsp,sv_P559
50,bbn-rcc-mon,sv_P737
144,emcon,sv_P602
80,bbn-rcc-mon,sv_P540
131,iso-tp4,sv_P76
0,iso-tp4,sv_P535
93,ipv4,sv_P633
116,xnet,sv_P333
39,icmp,sv_P829
87,igp,sv_P940
16,ipv4,sv_P156
31,xns-idp,sv_P760
63,nvp-II,sv_P34
116,leaf-1,sv_P250
35,egp,sv_P969
129,cbt,sv_P251
119,irtp,sv_P840
24,iso-tp4,sv_P345
123,tcp,sv_P744
75,trunk-1,sv_P941
82,igp,sv_P813
133,xns-idp,sv_P34
133,iso-tp4,sv_P47
137,mux,sv_P238
120,bbn-rcc-mon,sv_P236
14,chaos,sv_P380
14,st,sv_P895
63,emcon,sv_P473
60,trunk-1,sv_P799
106,rdp,sv_P942
84,tcp,sv_P310
14,dcn-meas,sv_P905
74,irtp,sv_P596
62,igp,sv_P113
49,st,sv_P360
40,prm,sv_P627
102,tcp,sv_P741
100,trunk-2,sv_P698
134,rdp,sv_P903
146,pup,sv_P698
12,leaf-1,sv_P814
102,rdp,sv_P337
115,xns-idp,sv_P961
56,igp,sv_P459
24,irtp,sv_P696
136,xns-idp,sv_P586
98,udp,sv_P632
135,tcp,sv_P433
61,chaos,sv_P793
98,argus,sv_P758
38,chaos,sv_P920
21,iso-tp4,sv_P55
68,ggp,sv_P429
146,trunk-2,sv_P241
135,argus,sv_P85
79,netblt,sv_P416
88,xns-idp,sv_P856
109,rdp,sv_P746
31,argus,sv_P465
24,mfe-nsp,sv_P579
117,igmp,sv_P216
66,bbn-rcc-mon,sv_P466
88,trunk-2,sv_P981
43,egp,sv_P508
89,nvp-II,sv_P539
129,cbt,sv_P939
11,emcon,sv_P853
11,mfe-nsp,sv_P636
57,mfe-nsp,sv_P249
118,igmp,sv_P136
145,tcp,sv_P418
21,udp,sv_P569
144,mfe-nsp,sv_P108
120,xns-idp,sv_P404
142,netblt,sv_P648
39,udp,sv_P904
48,mux,sv_P594
75,icmp,sv_P303
61,emcon,sv_P261
61,prm,sv_P415
110,igmp,sv_P491
24,tcp,sv_P112
109,hmp,sv_P136
45,leaf-2,sv_P797
145,cbt,sv_P75
29,egp,sv_P415
74,prm,sv_P678
21,trunk-2,sv_P684
106,cbt,sv_P623
70,ipv4,sv_P112
32,igp,sv_P826
124,leaf-1,sv_P435
100,egp,sv_P650
102,trunk-1,sv_P827
39,netblt,sv_P197
85,ipv4,sv_P602
55,igmp,sv_P815
89,iso-tp4,sv_P104
88,bbn-rcc-mon,sv_P344
116,igp,sv_P443
61,leaf-1,sv_P495
72,irtp,sv_P626
1,igmp,sv_P317
146,argus,sv_P879
14,leaf-1,sv_P357
96,leaf-1,sv_P483
15,ipv4,sv_P858
32,hmp,sv_P208
39,tcp,sv_P50
95,egp,sv_P568
112,rdp,sv_P489
51,udp,sv_P617
22,leaf-2,sv_P399
101,tcp,sv_P271
76,trunk-2,sv_P14
71,udp,sv_P415
102,igmp,sv_P595
55,rdp,sv_P431
74,leaf-1,sv_P477
66,argus,sv_P895
52,netblt,sv_P603
87,trunk-1,sv_P331
36,ggp,sv_P54
112,icmp,sv_P514
49,st,sv_P313
106,tcp,sv_P217
71,dcn-meas,sv_P28
128,pup,sv_P765
67,netblt,sv_P678
114,nvp-II,sv_P311
38,mfe-nsp,sv_P669
54,icmp,sv_P242
147,argus,sv_P432
106,xnet,sv_P114
2,iso-tp4,sv_P648
42,mfe-nsp,sv_P357
6,emcon,sv_P909
32,tcp,sv_P465
2,xns-idp,sv_P252
89,leaf-1,sv_P253
61,igmp,sv_P603
70,nvp-II,sv_P799
141,udp,sv_P500
48,pup,sv_P616
30,cbt,sv_P265
47,mfe-nsp,sv_P271
74,leaf-1,sv_P893
54,mux,sv_P245
53,xns-idp,sv_P501
7,icmp,sv_P217
145,trunk-1,sv_P284
3,st,sv_P16
70,leaf-2,sv_P358
107,udp,sv_P783
2,ipv4,sv_P474
27,xnet,sv_P546
139,mfe-nsp,sv_P205
11,xnet,sv_P270
6,st,sv_P921
86,bbn-rcc-mon,sv_P1000
33,egp,sv_P880
49,mux,sv_P579
100,hmp,sv_P167
42,mfe-nsp,sv_P838
129,ggp,sv_P831
77,udp,sv_P970
120,prm,sv_P80
66,irtp,sv_P566
30,icmp,sv_P714
52,icmp,sv_P661
124,dcn-meas,sv_P942
141,rdp,sv_P906
115,igp,sv_P558
16,mux,sv_P736
62,igmp,sv_P775
98,hmp,sv_P409
20,argus,sv_P995
18,icmp,sv_P597
21,mfe-nsp,sv_P956
